Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
170,Marc Gasol_19/20,C,35,TOR,44,43,1161.0,4.9,11.4,0.427,2.3,6.1,0.385,2.5,5.4,0.473,1.5,2.0,0.735,1.3,10.0,11.3,6.0,1.4,1.6,2.4,5.1,13.6,110.0,103
171,Rudy Gay_19/20,PF,33,SAS,67,5,1461.0,8.7,19.5,0.446,2.4,7.2,0.336,6.3,12.3,0.511,3.9,4.4,0.882,2.0,9.8,11.8,3.7,1.1,1.1,2.9,3.4,23.7,107.0,113
172,Paul George_19/20,SF,29,LAC,48,48,1419.0,11.4,26.1,0.439,5.2,12.7,0.412,6.2,13.4,0.464,6.3,7.2,0.876,0.8,8.3,9.1,6.2,2.3,0.7,4.2,3.8,34.4,112.0,106
173,Taj Gibson_19/20,C,34,NYK,62,56,1025.0,7.9,13.6,0.584,0.2,0.7,0.286,7.7,12.9,0.599,1.9,2.7,0.732,5.3,7.4,12.7,2.5,1.3,1.4,2.2,5.8,18.0,121.0,113
174,Harry Giles_19/20,C,21,SAC,46,17,667.0,10.1,18.3,0.554,0.0,0.1,0.0,10.1,18.1,0.558,2.8,3.6,0.776,3.1,10.5,13.7,4.4,1.6,1.3,3.2,8.7,23.0,111.0,109
175,Shai Gilgeous-Alexander_19/20,SG,21,OKC,70,70,2428.0,9.6,20.3,0.471,1.7,5.0,0.347,7.8,15.3,0.512,5.8,7.1,0.807,0.9,7.3,8.2,4.6,1.6,0.9,2.7,2.3,26.6,111.0,109
176,Rudy Gobert_19/20,C,27,UTA,68,68,2333.0,8.1,11.6,0.693,0.0,0.0,,8.1,11.6,0.693,5.3,8.4,0.63,4.8,14.3,19.1,2.1,1.1,2.8,2.7,4.5,21.4,130.0,104
178,Aaron Gordon_19/20,PF,24,ORL,62,62,2017.0,8.1,18.5,0.437,1.8,5.7,0.308,6.3,12.8,0.494,3.6,5.4,0.674,2.6,8.9,11.5,5.5,1.2,0.9,2.4,3.0,21.6,107.0,110
179,Eric Gordon_19/20,SF,31,HOU,36,15,1016.0,7.8,21.1,0.369,4.4,13.8,0.317,3.4,7.3,0.469,3.7,4.9,0.766,0.4,2.8,3.2,2.5,1.0,0.6,2.0,3.2,23.7,101.0,115
180,Devonte' Graham_19/20,PG,24,CHO,63,53,2211.0,8.3,21.8,0.382,4.9,13.3,0.373,3.4,8.6,0.397,4.3,5.3,0.82,1.0,3.9,4.8,10.7,1.4,0.3,4.1,2.6,25.9,109.0,116
181,Treveon Graham_19/20,SF,26,MIN,33,20,663.0,4.3,12.3,0.354,1.4,5.8,0.241,2.9,6.4,0.457,1.9,2.6,0.73,2.0,5.0,7.0,2.1,1.2,0.1,1.3,4.6,12.0,97.0,116
182,Jerami Grant_19/20,PF,25,DEN,71,24,1892.0,7.9,16.6,0.478,2.6,6.6,0.389,5.4,10.0,0.537,3.8,5.1,0.75,1.5,5.0,6.5,2.3,1.3,1.5,1.6,4.0,22.2,117.0,112
185,Danny Green_19/20,SG,32,LAL,68,68,1687.0,5.6,13.4,0.416,3.4,9.2,0.367,2.2,4.1,0.524,0.9,1.4,0.688,1.4,4.9,6.3,2.6,2.4,0.9,1.8,3.8,15.4,108.0,107
186,Draymond Green_19/20,PF,29,GSW,43,43,1222.0,4.8,12.4,0.389,1.4,5.1,0.279,3.4,7.3,0.465,2.5,3.3,0.759,0.9,9.5,10.4,10.4,2.3,1.3,3.8,4.3,13.5,100.0,110
