Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
305,Trey Lyles_19/20,PF,24,SAS,63,53,1271.0,5.8,12.9,0.446,2.4,6.3,0.387,3.3,6.6,0.503,1.2,1.7,0.733,2.7,10.9,13.6,2.6,1.1,1.1,1.5,3.7,15.2,113.0,113
309,Ian Mahinmi_19/20,C,33,WAS,38,35,808.0,6.0,12.1,0.495,0.3,1.5,0.192,5.7,10.6,0.538,4.0,6.5,0.619,4.5,8.1,12.6,2.8,1.8,2.5,2.6,6.6,16.4,110.0,112
310,Thon Maker_19/20,C,22,DET,60,14,776.0,5.9,12.2,0.482,1.4,4.1,0.344,4.5,8.2,0.55,4.6,7.0,0.664,3.4,7.2,10.6,2.7,1.6,2.5,2.9,6.5,17.8,111.0,110
313,Lauri Markkanen_19/20,PF,22,CHI,50,50,1492.0,8.1,19.1,0.425,3.5,10.2,0.344,4.6,8.8,0.518,4.1,4.9,0.824,1.9,8.2,10.1,2.4,1.4,0.7,2.6,3.1,23.8,108.0,110
315,Cody Martin_19/20,SF,24,CHO,48,3,903.0,4.9,11.5,0.43,1.0,4.3,0.234,3.9,7.2,0.546,2.3,3.6,0.646,2.1,6.7,8.8,5.3,2.2,0.5,2.4,4.3,13.2,104.0,112
320,Wesley Matthews_19/20,SG,33,MIL,67,67,1635.0,4.7,11.8,0.396,3.0,8.3,0.364,1.6,3.5,0.472,1.5,1.9,0.765,0.6,4.0,4.6,2.6,1.1,0.3,1.2,2.9,13.8,109.0,107
322,Patrick McCaw_19/20,SF,24,TOR,37,12,908.0,3.5,8.5,0.414,1.2,3.7,0.324,2.3,4.8,0.484,0.7,0.9,0.722,1.0,3.5,4.5,4.1,2.0,0.2,1.5,3.1,8.9,105.0,108
323,CJ McCollum_19/20,SG,28,POR,70,70,2556.0,11.4,25.3,0.451,3.6,9.5,0.379,7.8,15.7,0.494,2.6,3.4,0.757,0.9,4.7,5.5,5.8,1.0,0.8,2.4,3.4,29.0,111.0,118
324,T.J. McConnell_19/20,PG,27,IND,71,3,1326.0,7.8,15.0,0.516,0.2,0.6,0.294,7.6,14.4,0.525,1.3,1.5,0.833,1.4,5.5,6.9,13.0,2.0,0.4,3.7,2.7,17.0,112.0,109
326,Doug McDermott_19/20,PF,28,IND,69,0,1372.0,9.4,19.3,0.488,4.5,10.4,0.435,4.9,8.9,0.549,1.7,2.1,0.828,0.9,5.2,6.2,2.8,0.4,0.2,1.5,4.1,25.1,117.0,113
327,JaVale McGee_19/20,C,32,LAL,68,68,1130.0,8.2,12.9,0.637,0.1,0.3,0.5,8.1,12.6,0.64,2.2,3.5,0.646,5.3,11.2,16.4,1.6,1.5,4.0,2.3,6.7,18.8,124.0,101
328,Rodney McGruder_19/20,SG,28,LAC,56,4,871.0,3.9,9.8,0.398,1.3,4.8,0.27,2.6,5.0,0.522,1.0,1.8,0.559,1.6,6.6,8.2,2.0,1.4,0.4,1.3,4.0,10.1,100.0,109
329,Alfonzo McKinnie_19/20,SF,27,CLE,40,1,593.0,6.0,14.0,0.427,1.1,5.3,0.215,4.8,8.7,0.557,1.8,2.5,0.71,3.0,6.2,9.3,1.1,1.9,0.7,2.1,5.9,14.9,99.0,115
330,Jordan McLaughlin_19/20,PG,23,MIN,30,2,590.0,6.8,14.0,0.489,2.3,6.0,0.382,4.6,8.0,0.569,2.0,3.1,0.667,0.6,3.3,3.9,9.8,2.7,0.3,2.4,2.4,18.0,121.0,113
331,Ben McLemore_19/20,SF,26,HOU,71,23,1619.0,6.9,15.6,0.444,5.2,12.9,0.4,1.7,2.7,0.656,1.4,1.9,0.746,0.6,3.9,4.5,1.7,1.3,0.5,1.4,4.4,20.4,118.0,113
332,Jordan McRae_19/20,SG,28,WAS,29,4,654.0,9.5,22.7,0.42,2.9,7.6,0.377,6.6,15.1,0.441,4.6,5.9,0.771,1.2,6.2,7.4,5.9,1.4,1.1,2.7,4.4,26.4,106.0,116
333,Nicolò Melli_19/20,C,29,NOP,60,8,1042.0,6.0,14.3,0.421,3.1,9.1,0.335,3.0,5.2,0.573,2.4,3.2,0.74,1.7,6.3,8.0,3.6,1.5,1.0,2.0,5.5,17.5,111.0,112
334,De'Anthony Melton_19/20,PG,21,MEM,60,8,1167.0,6.4,16.0,0.401,1.6,5.6,0.286,4.8,10.4,0.464,3.7,4.8,0.769,1.7,7.1,8.8,7.0,3.1,0.8,3.4,4.4,18.2,102.0,107
336,Khris Middleton_19/20,SF,28,MIL,62,59,1853.0,11.6,23.3,0.497,3.6,8.7,0.415,8.0,14.6,0.546,5.1,5.6,0.916,1.1,8.3,9.4,6.5,1.3,0.2,3.4,3.5,32.0,118.0,104
340,Patty Mills_19/20,PG,31,SAS,66,1,1485.0,8.3,19.2,0.431,5.0,13.0,0.382,3.3,6.3,0.533,3.1,3.6,0.866,0.7,2.8,3.5,3.8,1.7,0.2,1.7,3.4,24.7,115.0,116
341,Paul Millsap_19/20,PF,34,DEN,51,48,1240.0,8.4,17.5,0.482,2.2,4.9,0.435,6.3,12.5,0.5,4.6,5.6,0.816,3.9,7.8,11.7,3.3,1.8,1.2,2.8,6.0,23.6,116.0,110
342,Shake Milton_19/20,SG,23,PHI,40,24,805.0,8.1,16.7,0.484,3.5,8.1,0.43,4.6,8.6,0.535,3.1,3.9,0.785,0.9,4.4,5.3,6.3,1.2,0.4,2.8,5.5,22.7,118.0,112
343,Donovan Mitchell_19/20,SG,23,UTA,69,69,2364.0,12.4,27.6,0.449,3.6,9.7,0.366,8.8,17.9,0.494,5.7,6.6,0.863,1.1,5.2,6.3,6.1,1.4,0.3,3.8,3.5,34.1,110.0,111
346,Malik Monk_19/20,SG,21,CHO,55,1,1169.0,9.1,20.9,0.434,2.5,8.7,0.284,6.6,12.2,0.542,3.5,4.3,0.82,1.2,5.6,6.7,4.9,1.1,0.7,3.3,3.2,24.2,102.0,115
348,E'Twaun Moore_19/20,SG,30,NOP,56,6,1020.0,8.4,19.8,0.426,2.9,7.6,0.377,5.6,12.2,0.456,1.4,2.0,0.689,1.4,4.5,5.9,3.5,1.5,0.5,1.8,3.6,21.1,104.0,114
349,Ja Morant_19/20,PG,20,MEM,67,67,2074.0,10.1,21.1,0.477,1.4,4.0,0.335,8.7,17.1,0.511,5.4,6.9,0.776,1.1,4.7,5.8,11.0,1.3,0.4,5.0,2.5,26.9,109.0,113
351,Marcus Morris_19/20,SF,30,NYK,43,43,1387.0,9.9,22.3,0.442,4.1,9.3,0.439,5.8,13.1,0.444,5.7,7.0,0.823,1.7,6.5,8.2,2.1,1.2,0.6,2.6,4.5,29.5,113.0,115
351,Marcus Morris_19/20,PF,30,LAC,19,19,549.0,6.4,15.0,0.425,2.2,7.2,0.31,4.1,7.7,0.533,1.5,1.9,0.818,0.9,5.8,6.7,2.3,1.1,1.1,2.1,4.5,16.5,101.0,109
352,Markieff Morris_19/20,PF,30,DET,44,16,988.0,8.7,19.4,0.45,3.7,9.4,0.397,5.0,10.0,0.5,3.0,3.9,0.772,1.2,7.4,8.6,3.4,1.3,0.5,3.5,5.2,24.2,104.0,113
353,Monte Morris_19/20,PG,24,DEN,73,12,1636.0,7.9,17.1,0.459,2.0,5.2,0.378,5.9,11.9,0.495,2.3,2.7,0.843,0.7,3.4,4.1,7.7,1.7,0.5,1.6,2.2,19.9,118.0,114
355,Emmanuel Mudiay_19/20,PG,23,UTA,54,2,850.0,8.6,18.7,0.462,1.7,5.0,0.345,6.9,13.7,0.504,3.6,4.8,0.759,1.0,6.2,7.2,6.6,1.4,0.6,4.4,4.1,22.6,103.0,111
357,Dejounte Murray_19/20,PG,23,SAS,66,58,1687.0,8.3,18.0,0.462,1.2,3.1,0.369,7.2,14.9,0.481,2.6,3.2,0.798,2.0,8.9,10.8,7.7,3.1,0.5,3.5,4.1,20.4,105.0,110
358,Jamal Murray_19/20,PG,22,DEN,59,59,1904.0,10.6,23.2,0.456,2.9,8.4,0.346,7.7,14.8,0.519,4.2,4.8,0.881,1.2,5.0,6.1,7.4,1.7,0.4,3.3,2.6,28.3,112.0,113
360,Mike Muscala_19/20,C,28,OKC,47,2,572.0,6.5,16.1,0.407,4.6,12.1,0.378,2.0,3.9,0.5,1.5,1.9,0.818,1.4,7.8,9.2,3.4,0.8,1.0,1.4,4.9,19.2,114.0,110
361,Sviatoslav Mykhailiuk_19/20,SF,22,DET,56,27,1265.0,6.5,15.7,0.41,4.5,11.1,0.404,2.0,4.7,0.425,2.2,2.7,0.814,0.7,3.4,4.0,4.1,1.6,0.2,2.4,3.4,19.6,110.0,116
362,Abdel Nader_19/20,SF,26,OKC,55,6,867.0,6.9,14.7,0.468,2.7,7.2,0.375,4.2,7.6,0.556,2.9,3.7,0.773,0.8,4.8,5.6,2.1,1.3,1.1,2.4,4.4,19.3,107.0,111
363,Larry Nance Jr._19/20,PF,27,CLE,56,10,1472.0,7.6,14.2,0.531,1.9,5.3,0.352,5.7,9.0,0.636,1.7,2.4,0.676,3.5,10.0,13.5,4.1,1.9,0.7,2.0,3.0,18.6,122.0,113
364,Shabazz Napier_19/20,PG,28,MIN,36,22,856.0,6.2,15.3,0.403,2.5,8.6,0.296,3.6,6.7,0.54,3.9,4.8,0.818,0.9,5.0,6.0,10.1,2.2,0.4,4.1,3.4,18.8,108.0,113
365,Raul Neto_19/20,PG,27,PHI,54,3,668.0,7.3,16.1,0.455,2.5,6.4,0.386,4.9,9.7,0.5,2.8,3.4,0.83,0.8,3.6,4.4,6.9,1.7,0.4,3.4,3.6,20.0,109.0,111
367,Georges Niang_19/20,PF,26,UTA,66,1,923.0,7.4,17.0,0.438,4.7,11.9,0.4,2.7,5.1,0.526,1.1,1.3,0.833,0.8,5.9,6.7,2.3,0.9,0.3,1.6,4.0,20.7,113.0,112
369,Nerlens Noel_19/20,C,25,OKC,61,7,1127.0,7.9,11.6,0.684,0.0,0.1,0.333,7.9,11.5,0.688,3.4,4.6,0.755,3.9,9.0,12.9,2.5,2.5,3.9,2.8,7.2,19.4,127.0,102
372,Frank Ntilikina_19/20,PG,21,NYK,57,26,1187.0,5.4,13.7,0.393,1.8,5.6,0.321,3.6,8.0,0.444,2.1,2.4,0.864,0.9,4.0,5.0,7.1,2.2,0.7,2.9,5.8,14.6,103.0,113
373,Kendrick Nunn_19/20,PG,24,MIA,67,67,1962.0,10.0,22.7,0.439,3.4,9.7,0.35,6.6,13.0,0.505,2.1,2.5,0.85,0.5,4.0,4.5,5.5,1.4,0.4,2.8,3.8,25.5,103.0,112
376,Royce O'Neale_19/20,SF,26,UTA,71,62,2049.0,3.8,8.7,0.433,2.2,5.8,0.377,1.6,2.9,0.545,1.0,1.3,0.764,0.6,8.6,9.2,4.3,1.4,0.8,1.4,4.8,10.7,117.0,109
378,Semi Ojeleye_19/20,PF,25,BOS,69,6,1011.0,3.8,9.4,0.408,2.3,6.1,0.378,1.5,3.3,0.464,1.3,1.5,0.875,1.2,5.7,6.9,1.8,1.0,0.2,0.9,3.8,11.3,116.0,111
380,Elie Okobo_19/20,PG,22,PHO,55,3,719.0,4.7,11.9,0.398,1.6,4.7,0.352,3.1,7.2,0.427,3.3,4.7,0.704,1.1,4.9,5.9,7.6,1.6,0.3,2.5,3.6,14.4,109.0,113
381,Josh Okogie_19/20,SG,21,MIN,62,28,1547.0,5.1,11.9,0.427,1.2,4.6,0.266,3.9,7.3,0.529,4.6,5.7,0.796,2.6,5.4,8.0,3.0,2.0,0.8,2.6,4.2,16.0,108.0,113
384,Kelly Olynyk_19/20,C,28,MIA,67,9,1300.0,6.9,14.9,0.462,3.6,8.8,0.406,3.3,6.2,0.543,3.2,3.8,0.86,1.7,9.8,11.5,4.4,1.7,0.9,2.7,6.5,20.6,116.0,108
386,Cedi Osman_19/20,SF,24,CLE,65,65,1910.0,6.8,15.5,0.437,3.1,8.2,0.383,3.6,7.3,0.497,1.6,2.4,0.67,1.0,4.9,5.9,3.9,1.4,0.4,2.3,4.1,18.3,107.0,117
387,Kelly Oubre Jr._19/20,SF,24,PHO,56,55,1933.0,9.1,20.2,0.452,2.6,7.5,0.352,6.5,12.7,0.511,4.7,6.0,0.78,1.6,7.2,8.8,2.1,1.7,1.0,2.0,4.7,25.6,109.0,110
390,Jabari Parker_19/20,PF,24,ATL,32,23,837.0,11.0,21.9,0.504,1.7,6.4,0.27,9.3,15.5,0.601,3.0,4.0,0.736,3.0,7.6,10.6,3.2,2.3,0.8,3.3,5.2,26.7,106.0,113
392,Eric Paschall_19/20,PF,23,GSW,60,26,1654.0,9.2,18.5,0.497,1.1,3.7,0.287,8.1,14.8,0.55,4.7,6.1,0.774,2.4,5.6,8.0,3.7,0.9,0.4,2.7,3.6,24.2,110.0,117
394,Patrick Patterson_19/20,PF,30,LAC,59,18,776.0,5.8,14.2,0.408,4.1,10.5,0.39,1.7,3.7,0.459,2.1,2.6,0.814,2.1,7.1,9.2,2.5,0.4,0.2,1.3,3.3,17.8,119.0,111
396,Chris Paul_19/20,PG,34,OKC,70,70,2208.0,9.6,19.5,0.489,2.4,6.7,0.365,7.1,12.8,0.554,5.6,6.1,0.907,0.6,7.1,7.7,10.4,2.4,0.2,3.5,3.5,27.1,120.0,108
398,Elfrid Payton_19/20,PG,25,NYK,45,36,1246.0,7.5,17.2,0.439,0.5,2.7,0.203,7.0,14.5,0.482,1.9,3.4,0.57,2.0,6.3,8.3,12.6,2.7,0.7,3.8,3.5,17.5,105.0,111
402,Mason Plumlee_19/20,C,29,DEN,61,1,1057.0,8.3,13.5,0.615,0.0,0.2,0.0,8.3,13.2,0.625,3.9,7.2,0.535,4.6,10.2,14.8,7.2,1.5,1.8,3.8,6.7,20.4,118.0,108
403,Jakob Poeltl_19/20,C,24,SAS,66,18,1171.0,6.8,10.9,0.624,0.0,0.0,,6.8,10.9,0.624,1.6,3.5,0.465,5.3,10.0,15.3,4.7,1.5,3.9,2.2,5.1,15.2,125.0,108
406,Jordan Poole_19/20,SG,20,GSW,57,14,1274.0,6.3,18.9,0.333,2.8,10.0,0.279,3.5,8.9,0.392,3.6,4.5,0.798,0.3,4.1,4.4,5.0,1.3,0.4,2.8,3.5,18.9,91.0,117
407,Kevin Porter Jr._19/20,SF,19,CLE,50,3,1162.0,7.8,17.6,0.442,2.2,6.6,0.335,5.6,11.0,0.506,3.1,4.2,0.723,0.9,5.9,6.8,4.6,1.9,0.6,3.9,5.7,20.9,99.0,115
408,Michael Porter Jr._19/20,SF,21,DEN,55,8,903.0,10.7,21.0,0.509,3.4,8.0,0.422,7.3,12.9,0.564,3.3,3.9,0.833,3.6,10.6,14.2,2.5,1.5,1.4,2.7,5.5,28.0,118.0,109
410,Bobby Portis_19/20,PF,24,NYK,66,5,1393.0,9.3,20.6,0.45,2.3,6.5,0.358,6.9,14.1,0.493,2.5,3.3,0.763,2.8,9.0,11.8,3.4,1.1,0.6,2.6,3.8,23.3,107.0,113
411,Kristaps Porziņģis_19/20,C,24,DAL,57,57,1814.0,10.6,24.8,0.427,3.8,10.7,0.352,6.8,14.1,0.484,6.0,7.5,0.799,2.7,11.7,14.4,2.7,1.1,3.1,2.5,4.9,31.0,111.0,107
412,Dwight Powell_19/20,C,28,DAL,40,37,1061.0,6.7,10.4,0.638,0.5,1.8,0.256,6.2,8.7,0.716,3.4,5.1,0.667,3.4,6.9,10.3,2.7,1.5,1.0,1.6,4.6,17.1,134.0,111
413,Norman Powell_19/20,SG,26,TOR,52,26,1479.0,9.5,19.2,0.495,3.5,8.8,0.399,6.0,10.5,0.575,4.1,4.9,0.843,0.8,5.3,6.1,2.9,1.9,0.7,2.5,3.5,26.7,115.0,106
414,Taurean Prince_19/20,PF,25,BRK,64,61,1857.0,7.1,18.8,0.376,3.7,11.0,0.339,3.4,7.8,0.429,1.8,2.3,0.798,1.3,8.4,9.7,3.0,1.5,0.6,3.2,4.1,19.7,94.0,109
416,Julius Randle_19/20,PF,25,NYK,64,64,2080.0,10.8,23.5,0.46,1.5,5.4,0.277,9.3,18.1,0.515,6.0,8.2,0.733,3.5,11.0,14.6,4.6,1.2,0.5,4.5,4.2,29.2,105.0,112
418,Cam Reddish_19/20,SF,20,ATL,58,34,1551.0,6.4,16.6,0.384,2.5,7.5,0.332,3.9,9.1,0.428,3.0,3.8,0.802,1.1,5.4,6.5,2.6,1.9,0.8,2.9,4.0,18.3,95.0,115
419,J.J. Redick_19/20,SG,35,NOP,60,36,1581.0,8.4,18.5,0.453,5.3,11.6,0.453,3.1,6.8,0.453,4.8,5.4,0.892,0.3,4.1,4.4,3.5,0.6,0.3,2.2,2.8,26.8,122.0,116
421,Josh Richardson_19/20,SG,26,PHI,55,53,1693.0,8.0,18.5,0.43,2.4,7.1,0.341,5.5,11.4,0.486,3.3,4.0,0.809,1.2,3.8,5.0,4.6,1.5,1.0,3.0,3.9,21.6,104.0,111
422,Austin Rivers_19/20,SG,27,HOU,68,4,1594.0,6.1,14.5,0.421,2.8,7.8,0.356,3.3,6.7,0.498,2.3,3.2,0.703,0.8,4.3,5.1,3.3,1.4,0.3,1.5,3.7,17.3,110.0,113
424,Duncan Robinson_19/20,SG,25,MIA,73,68,2166.0,7.3,15.5,0.47,6.1,13.7,0.446,1.2,1.8,0.654,1.5,1.6,0.931,0.2,5.0,5.2,2.3,0.8,0.4,1.6,4.3,22.2,122.0,113
425,Glenn Robinson III_19/20,SF,26,GSW,48,48,1516.0,7.7,16.0,0.481,2.1,5.4,0.4,5.6,10.6,0.522,2.0,2.3,0.851,2.1,5.1,7.1,2.7,1.4,0.4,1.6,2.6,19.5,112.0,116
428,Mitchell Robinson_19/20,C,21,NYK,61,7,1412.0,8.7,11.8,0.742,0.0,0.0,,8.7,11.8,0.742,2.9,5.1,0.568,6.4,8.3,14.8,1.2,1.8,4.1,1.3,6.7,20.3,144.0,107
430,Rajon Rondo_19/20,PG,33,LAL,48,3,984.0,6.6,15.8,0.418,2.0,6.0,0.328,4.6,9.8,0.473,1.3,2.0,0.659,1.1,5.8,6.9,11.6,1.9,0.1,4.4,2.8,16.5,103.0,108
431,Derrick Rose_19/20,PG,31,DET,50,15,1298.0,14.0,28.5,0.49,1.7,5.6,0.306,12.3,23.0,0.535,4.6,5.3,0.871,1.0,3.6,4.6,10.5,1.5,0.6,4.8,1.9,34.3,109.0,115
432,Terrence Ross_19/20,SG,28,ORL,69,0,1889.0,8.8,21.8,0.403,4.6,13.0,0.351,4.2,8.8,0.48,4.0,4.7,0.853,0.3,5.4,5.7,2.1,2.0,0.6,1.8,2.8,26.2,106.0,110
433,Terry Rozier_19/20,PG,25,CHO,63,63,2164.0,9.2,21.8,0.423,4.0,9.8,0.407,5.2,12.0,0.436,3.8,4.4,0.874,1.2,5.2,6.4,6.0,1.4,0.2,3.3,2.9,26.3,108.0,115
434,Ricky Rubio_19/20,PG,29,PHO,65,65,2016.0,6.7,16.3,0.415,1.8,5.1,0.361,4.9,11.2,0.439,4.6,5.3,0.863,1.1,6.1,7.1,13.4,2.2,0.3,4.1,3.9,19.9,113.0,111
435,D'Angelo Russell_19/20,PG,23,GSW,33,33,1060.0,12.3,28.7,0.43,5.4,14.5,0.374,6.9,14.2,0.487,5.1,6.5,0.785,0.6,4.9,5.5,9.3,1.4,0.4,4.6,2.9,35.2,106.0,116
436,Domantas Sabonis_19/20,PF,23,IND,62,62,2159.0,10.3,19.1,0.54,0.4,1.5,0.254,9.9,17.6,0.565,4.8,6.7,0.723,4.2,13.1,17.3,7.0,1.1,0.7,3.8,4.4,25.8,115.0,106
439,Dario Šarić_19/20,PF,25,PHO,66,51,1632.0,7.4,15.6,0.476,2.4,6.8,0.357,5.0,8.8,0.568,3.1,3.7,0.844,2.9,8.9,11.8,3.6,1.1,0.5,2.6,4.5,20.4,114.0,112
440,Tomáš Satoranský_19/20,SG,28,CHI,65,64,1878.0,6.1,14.1,0.43,1.6,5.1,0.322,4.4,9.0,0.491,2.7,3.1,0.876,1.9,4.6,6.5,9.1,2.1,0.2,3.3,3.5,16.5,111.0,112
442,Dennis Schröder_19/20,PG,26,OKC,65,2,1999.0,11.0,23.5,0.469,3.0,7.9,0.385,8.0,15.6,0.513,4.8,5.7,0.839,0.5,5.3,5.7,6.4,1.1,0.3,4.0,3.5,29.9,108.0,112
443,Mike Scott_19/20,PF,31,PHI,68,11,1207.0,6.0,14.1,0.426,3.2,8.7,0.369,2.8,5.3,0.519,1.2,1.5,0.811,2.6,7.3,10.0,2.2,0.8,0.2,1.0,3.9,16.4,117.0,112
445,Collin Sexton_19/20,PG,21,CLE,65,65,2143.0,11.6,24.7,0.472,2.2,5.8,0.38,9.4,18.9,0.501,5.1,6.1,0.846,1.4,3.2,4.6,4.4,1.5,0.2,3.6,3.2,30.6,108.0,118
446,Landry Shamet_19/20,SG,22,LAC,53,30,1452.0,5.1,12.7,0.404,3.6,9.6,0.375,1.5,3.1,0.495,2.1,2.5,0.855,0.2,3.1,3.3,3.2,0.7,0.3,1.4,4.6,16.0,115.0,113
449,Pascal Siakam_19/20,PF,25,TOR,60,60,2110.0,11.3,24.9,0.453,3.0,8.2,0.359,8.3,16.7,0.499,5.4,6.8,0.792,1.4,8.5,9.9,4.7,1.4,1.2,3.3,3.8,30.9,107.0,105
451,Ben Simmons_19/20,PG,23,PHI,57,57,2017.0,9.0,15.5,0.58,0.0,0.2,0.286,9.0,15.4,0.583,4.4,7.2,0.621,2.7,8.0,10.7,10.9,2.9,0.8,4.8,4.5,22.5,116.0,106
452,Anfernee Simons_19/20,SG,20,POR,70,4,1449.0,7.0,17.6,0.399,2.5,7.4,0.332,4.6,10.2,0.448,2.5,3.0,0.826,0.8,4.2,5.0,3.2,0.9,0.3,2.0,4.4,19.0,102.0,119
454,Marcus Smart_19/20,SG,25,BOS,60,40,1919.0,6.4,17.2,0.375,3.4,9.9,0.347,3.0,7.2,0.415,3.2,3.8,0.836,1.1,4.6,5.7,7.3,2.5,0.7,2.6,4.1,19.5,110.0,107
456,Ish Smith_19/20,PG,31,WAS,68,23,1787.0,8.1,18.0,0.447,1.6,4.4,0.367,6.4,13.6,0.473,1.6,2.2,0.721,0.8,4.9,5.7,8.7,1.5,0.8,2.5,2.8,19.4,108.0,117
459,Tony Snell_19/20,SF,28,DET,59,57,1641.0,5.1,11.5,0.445,3.1,7.6,0.402,2.0,3.8,0.531,1.0,1.0,1.0,0.3,3.1,3.3,3.8,1.0,0.4,0.9,3.0,14.2,121.0,117
460,Omari Spellman_19/20,C,22,GSW,49,3,886.0,6.9,15.9,0.431,2.3,5.9,0.391,4.5,10.0,0.454,3.9,5.0,0.793,4.2,7.7,11.8,2.5,1.8,1.3,2.9,3.4,20.0,107.0,112
464,Jayson Tatum_19/20,PF,21,BOS,66,66,2265.0,11.8,26.1,0.45,4.0,10.0,0.403,7.7,16.1,0.48,5.4,6.7,0.812,1.4,8.4,9.8,4.3,2.0,1.2,3.3,2.9,33.0,111.0,106
465,Jeff Teague_19/20,PG,31,MIN,34,13,945.0,7.1,15.9,0.448,1.6,4.3,0.379,5.5,11.6,0.473,6.1,7.1,0.868,0.7,3.6,4.3,10.2,1.2,0.6,3.7,3.4,22.0,116.0,116
466,Garrett Temple_19/20,SG,33,BRK,62,35,1730.0,6.1,16.1,0.378,3.5,10.6,0.329,2.6,5.5,0.473,1.9,2.4,0.805,0.8,5.2,6.0,4.3,1.3,0.8,1.7,3.0,17.5,106.0,111
467,Daniel Theis_19/20,C,27,BOS,65,64,1566.0,7.4,13.1,0.566,1.0,3.0,0.333,6.4,10.2,0.633,2.7,3.5,0.763,4.3,8.8,13.1,3.4,1.1,2.6,1.7,6.7,18.5,130.0,105
468,Isaiah Thomas_19/20,PG,30,WAS,40,37,925.0,8.8,21.5,0.408,3.9,9.6,0.413,4.9,12.0,0.405,3.1,3.8,0.816,0.6,2.9,3.4,7.4,0.7,0.3,3.9,3.9,24.7,103.0,120
472,Tristan Thompson_19/20,PF,28,CLE,57,51,1721.0,8.1,15.9,0.512,0.3,0.7,0.391,7.9,15.2,0.518,2.8,4.6,0.615,6.4,9.9,16.3,3.4,0.9,1.4,2.9,3.5,19.3,112.0,114
474,Matisse Thybulle_19/20,SG,22,PHI,65,14,1287.0,4.2,10.0,0.423,2.1,5.9,0.357,2.1,4.1,0.519,0.9,1.5,0.61,1.7,2.4,4.0,3.0,3.5,1.8,1.9,5.3,11.5,105.0,106
475,Anthony Tolliver_19/20,PF,34,POR,33,9,554.0,3.7,10.1,0.368,2.6,7.7,0.337,1.1,2.4,0.464,1.1,1.6,0.684,2.3,7.1,9.5,2.5,0.7,0.8,1.8,4.6,11.1,106.0,117
477,Karl-Anthony Towns_19/20,C,24,MIN,35,35,1187.0,12.4,24.3,0.508,4.5,10.8,0.412,7.9,13.5,0.586,7.0,8.8,0.796,3.7,11.1,14.8,6.0,1.3,1.6,4.3,4.6,36.2,121.0,110
478,Gary Trent Jr._19/20,SF,21,POR,61,8,1332.0,7.0,15.8,0.444,4.0,9.6,0.418,3.0,6.2,0.486,1.3,1.6,0.822,0.9,2.7,3.6,2.2,1.7,0.6,0.8,3.2,19.4,121.0,117
480,P.J. Tucker_19/20,PF,34,HOU,72,72,2467.0,3.3,8.0,0.415,2.0,5.6,0.358,1.3,2.4,0.551,0.7,0.9,0.813,2.1,6.8,8.9,2.2,1.4,0.7,1.4,4.3,9.4,114.0,111
483,Myles Turner_19/20,C,23,IND,62,62,1826.0,7.1,15.6,0.457,2.3,6.6,0.344,4.8,9.0,0.54,3.4,4.5,0.751,2.3,8.5,10.8,1.9,1.2,3.5,2.3,4.4,19.9,108.0,105
485,Jonas Valančiūnas_19/20,C,27,MEM,70,70,1845.0,10.9,18.7,0.585,0.8,2.3,0.352,10.1,16.4,0.617,3.7,5.1,0.74,5.4,14.6,19.9,3.3,0.8,1.9,3.2,4.7,26.4,120.0,107
488,Fred VanVleet_19/20,SG,25,TOR,54,54,1928.0,7.9,19.1,0.413,3.6,9.2,0.39,4.3,9.8,0.434,4.1,4.9,0.848,0.4,4.6,5.0,8.8,2.5,0.4,3.0,3.3,23.5,113.0,106
491,Nikola Vučević_19/20,C,29,ORL,62,62,1998.0,12.0,25.2,0.477,2.4,7.0,0.339,9.6,18.1,0.531,3.2,4.1,0.784,3.4,13.0,16.4,5.4,1.3,1.1,2.1,3.3,29.6,114.0,107
493,Moritz Wagner_19/20,C,22,WAS,45,5,835.0,8.1,14.9,0.545,1.4,4.5,0.313,6.7,10.4,0.645,4.4,5.3,0.821,3.1,9.1,12.3,3.1,1.6,1.1,3.7,8.5,22.0,114.0,113
495,Kemba Walker_19/20,PG,29,BOS,56,56,1742.0,10.5,24.6,0.425,5.0,13.1,0.381,5.5,11.5,0.476,5.8,6.7,0.864,1.0,5.0,6.0,7.4,1.3,0.8,3.2,2.5,31.7,116.0,110
496,Lonnie Walker_19/20,SG,21,SAS,61,12,988.0,7.4,17.3,0.426,2.0,4.9,0.406,5.4,12.4,0.434,2.1,3.0,0.721,1.1,5.6,6.7,3.3,1.5,0.7,2.1,3.8,18.8,100.0,115
499,Brad Wanamaker_19/20,PG,30,BOS,71,1,1369.0,5.7,12.8,0.448,1.3,3.6,0.363,4.4,9.2,0.481,4.4,4.8,0.926,0.8,4.3,5.1,6.3,2.2,0.5,2.7,4.7,17.2,115.0,109
500,T.J. Warren_19/20,SF,26,IND,67,67,2202.0,11.8,22.0,0.536,2.0,5.0,0.403,9.8,17.0,0.575,3.7,4.5,0.819,1.5,4.7,6.2,2.2,1.7,0.7,1.9,4.1,29.2,116.0,110
